"WFH_Exposure_Q","variable","label","unit","mean_childless","mean_mothers","difference","se","n_childless","n_mothers","n_occupations","exposure_low","exposure_high"
1,"age_code","Age-group code (CBS 3--7), mean","code",5.56882661996497,5.03338266016713,-0.535443959797844,0.0291883008353526,11420,22976,15,0,0.0969617676987934
1,"married","Married (\%)","pct",53.3975481611208,85.6067200557103,32.2091718945895,1.08548008457056,11420,22976,15,0,0.0969617676987934
1,"academic","Academic degree (\%)","pct",52.3691435656718,63.143595810876,10.7744522452042,1.16154551027834,11420,22976,15,0,0.0969617676987934
1,"below_hs","Below high school (\%)","pct",8.45806394473474,5.23640506550984,-3.22165887922491,0.587950448549161,11420,22976,15,0,0.0969617676987934
1,"jewish_head","Jewish household head (\%)","pct",79.1681260945709,80.7886490250696,1.62052293049871,0.988184616865365,11420,22976,15,0,0.0969617676987934
1,"center_tlv","Center or Tel Aviv district (\%)","pct",43.6514886164623,39.2148328690808,-4.43665574738158,1.19912847101535,11420,22976,15,0,0.0969617676987934
1,"arab","Arab (\%)","pct",14.0980735551664,15.9601323119777,1.86205875681134,0.880150283848201,11420,22976,15,0,0.0969617676987934
2,"age_code","Age-group code (CBS 3--7), mean","code",5.43155532539271,4.99395880635744,-0.437596519035274,0.030333843915468,11586,24664,7,0.0981373366694468,0.143074581430746
2,"married","Married (\%)","pct",50.2416709822199,83.9847551086604,33.7430841264404,1.11247082679459,11586,24664,7,0.0981373366694468,0.143074581430746
2,"academic","Academic degree (\%)","pct",44.567395660887,49.0784537595825,4.51105809869543,1.19243256233922,11586,24664,7,0.0981373366694468,0.143074581430746
2,"below_hs","Below high school (\%)","pct",3.07571665069269,1.33338770184309,-1.7423289488496,0.356531973196749,11586,24664,7,0.0981373366694468,0.143074581430746
2,"jewish_head","Jewish household head (\%)","pct",90.1950630070775,90.674667531625,0.479604524547426,0.727136978408247,11586,24664,7,0.0981373366694468,0.143074581430746
2,"center_tlv","Center or Tel Aviv district (\%)","pct",54.7902641118591,51.3744729159909,-3.41579119586828,1.23637456455052,11586,24664,7,0.0981373366694468,0.143074581430746
2,"arab","Arab (\%)","pct",7.01708959088555,7.23726889393448,0.220179303048923,0.637175333671461,11586,24664,7,0.0981373366694468,0.143074581430746
3,"age_code","Age-group code (CBS 3--7), mean","code",5.28810020876827,4.95811541530006,-0.329984793468206,0.0253955758034967,17244,22562,11,0.143939393939394,0.3
3,"married","Married (\%)","pct",38.7439109255393,80.2499778388441,41.5060669133047,0.947549773871393,17244,22562,11,0.143939393939394,0.3
3,"academic","Academic degree (\%)","pct",27.4555000640287,28.9564554464326,1.50095538240389,0.956786909371188,17244,22562,11,0.143939393939394,0.3
3,"below_hs","Below high school (\%)","pct",8.89998719426303,5.56078747925916,-3.33919971500387,0.533991096645227,17244,22562,11,0.143939393939394,0.3
3,"jewish_head","Jewish household head (\%)","pct",69.1312920436094,83.3968619803209,14.2655699367115,0.917042716246344,17244,22562,11,0.143939393939394,0.3
3,"center_tlv","Center or Tel Aviv district (\%)","pct",53.5258640686616,44.7655349703041,-8.76032909835752,1.07582920909639,17244,22562,11,0.143939393939394,0.3
3,"arab","Arab (\%)","pct",8.00278357689631,11.7409804095382,3.73819683264185,0.641019697398324,17244,22562,11,0.143939393939394,0.3
4,"age_code","Age-group code (CBS 3--7), mean","code",4.89415708812261,4.97264456249618,0.0784874743735795,0.03800876236969,8352,16377,6,0.360383693045564,0.75
4,"married","Married (\%)","pct",42.1575670498084,85.2659217194846,43.1083546696762,1.30174888139,8352,16377,6,0.360383693045564,0.75
4,"academic","Academic degree (\%)","pct",71.6783216783217,73.5018094829173,1.82348780459554,1.24695360499681,8352,16377,6,0.360383693045564,0.75
4,"below_hs","Below high school (\%)","pct",0.590788521823005,0.355762743053426,-0.235025778769579,0.190541186772086,8352,16377,6,0.360383693045564,0.75
4,"jewish_head","Jewish household head (\%)","pct",91.4391762452107,94.5594431214508,3.12026687624012,0.782229580893187,8352,16377,6,0.360383693045564,0.75
4,"center_tlv","Center or Tel Aviv district (\%)","pct",59.4468390804598,54.9734383586737,-4.47340072178599,1.44857560662355,8352,16377,6,0.360383693045564,0.75
4,"arab","Arab (\%)","pct",4.48994252873563,3.62093179458997,-0.869010734145657,0.59775746198384,8352,16377,6,0.360383693045564,0.75
